date,year,value
Jun 1, 2011,252.912
Jul 1, 2011,219.91
Aug 1, 2011,161.049
Sep 1, 2011,209.131
Oct 1, 2011,309.566
Nov 1, 2011,267.852
Dec 1, 2011,191.34
Jan 1, 2012,113.113
Feb 1, 2012,55.14
Mar 1, 2012,138.044
Apr 1, 2012,383.723
May 1, 2012,246.825
Jun 1, 2012,115.197
Jul 1, 2012,115.808
Aug 1, 2012,188.472
Sep 1, 2012,112.292
Oct 1, 2012,284.215
Nov 1, 2012,180.035
Dec 1, 2012,67.361
Jan 1, 2013,36.744
Feb 1, 2013,100.232
Mar 1, 2013,134.459
Apr 1, 2013,139.562
May 1, 2013,291.551
Jun 1, 2013,150.611
Jul 1, 2013,60.607
Aug 1, 2013,182.85
Sep 1, 2013,195.236
Oct 1, 2013,230.83
Nov 1, 2013,218.404
Dec 1, 2013,127.96
Jan 1, 2014,59.658
Feb 1, 2014,85.132
Mar 1, 2014,97.607
Apr 1, 2014,163.611
May 1, 2014,233.311
Jun 1, 2014,97.888
Jul 1, 2014,53.334
Aug 1, 2014,162.868
Sep 1, 2014,163.954
Oct 1, 2014,255.262
Nov 1, 2014,142.985
Dec 1, 2014,98.078
Jan 1, 2015,41.236
Feb 1, 2015,53.084
Mar 1, 2015,93.269
Apr 1, 2015,164.908
May 1, 2015,164.593
Jun 1, 2015,58.864
Jul 1, 2015,110.307
Aug 1, 2015,85.755
Sep 1, 2015,108.3
Oct 1, 2015,290.095
Nov 1, 2015,142.801
Dec 1, 2015,92.029
Jan 1, 2016,52.511
Feb 1, 2016,23.016
Mar 1, 2016,57.68
Apr 1, 2016,185.789
May 1, 2016,197.316
Jun 1, 2016,82.951
Jul 1, 2016,137.562
Aug 1, 2016,316.535
Sep 1, 2016,278.376
Oct 1, 2016,234.224
Nov 1, 2016,206.672
Dec 1, 2016,117.255
