date,year,value
Jul 1, 2012,103.704
Aug 1, 2012,186.565
Sep 1, 2012,93.213
Oct 1, 2012,240.82
Nov 1, 2012,175.431
Dec 1, 2012,61.719
Jan 1, 2013,29.506
Feb 1, 2013,114.174
Mar 1, 2013,116.177
Apr 1, 2013,162.447
May 1, 2013,281.364
Jun 1, 2013,141.45
Jul 1, 2013,61.222
Aug 1, 2013,199.982
Sep 1, 2013,176.4
Oct 1, 2013,219.097
Nov 1, 2013,202.664
Dec 1, 2013,95.819
Jan 1, 2014,65.99
Feb 1, 2014,88.135
Mar 1, 2014,110.708
Apr 1, 2014,162.3
May 1, 2014,205.917
Jun 1, 2014,99.536
Jul 1, 2014,41.578
Aug 1, 2014,145.78
Sep 1, 2014,141.405
Oct 1, 2014,239.373
Nov 1, 2014,157.445
Dec 1, 2014,98.499
Jan 1, 2015,29.036
Feb 1, 2015,59.382
Mar 1, 2015,91.498
Apr 1, 2015,143.96
May 1, 2015,170.437
Jun 1, 2015,49.008
Jul 1, 2015,90.763
Aug 1, 2015,53.474
Sep 1, 2015,100.91
Oct 1, 2015,166.566
Nov 1, 2015,123.604
Dec 1, 2015,83.174
Jan 1, 2016,46.781
Feb 1, 2016,27.524
Mar 1, 2016,54.301
Apr 1, 2016,179.17
May 1, 2016,183.723
Jun 1, 2016,84.66
Jul 1, 2016,146.231
Aug 1, 2016,203.43
Sep 1, 2016,216.511
Oct 1, 2016,231.865
Nov 1, 2016,182.857
Dec 1, 2016,114.846
