date,year,value
Jan 1, 2008,115.638
Feb 1, 2008,193.416
Mar 1, 2008,272.518
Apr 1, 2008,255.677
May 1, 2008,403.534
Jun 1, 2008,313.522
Jul 1, 2008,287.587
Aug 1, 2008,313.28
Sep 1, 2008,263.906
Oct 1, 2008,309.411
Nov 1, 2008,346.175
Dec 1, 2008,102.044
Jan 1, 2009,145.75
Feb 1, 2009,126.299
Mar 1, 2009,183.496
Apr 1, 2009,248.694
May 1, 2009,264.361
Jun 1, 2009,243.782
Jul 1, 2009,114.354
Aug 1, 2009,159.56
Sep 1, 2009,110.058
Oct 1, 2009,250.258
Nov 1, 2009,222.756
Dec 1, 2009,92.115
Jan 1, 2010,37.624
Feb 1, 2010,59.8
Mar 1, 2010,127.5
Apr 1, 2010,276.339
May 1, 2010,288.811
Jun 1, 2010,281.356
Jul 1, 2010,342.776
Aug 1, 2010,259.184
Sep 1, 2010,376.278
Oct 1, 2010,310.175
Nov 1, 2010,421.469
Dec 1, 2010,257.412
Jan 1, 2011,100.816
Feb 1, 2011,151.919
Mar 1, 2011,224.939
Apr 1, 2011,500.97
May 1, 2011,245.759
Jun 1, 2011,266.583
Jul 1, 2011,222.081
Aug 1, 2011,185.737
Sep 1, 2011,217.509
Oct 1, 2011,333.828
Nov 1, 2011,319.697
Dec 1, 2011,250.956
Jan 1, 2012,141.149
Feb 1, 2012,85.954
Mar 1, 2012,171.192
Apr 1, 2012,447.774
May 1, 2012,248.933
Jun 1, 2012,138.175
Jul 1, 2012,135.158
Aug 1, 2012,223.915
Sep 1, 2012,115.994
Oct 1, 2012,291.09
Nov 1, 2012,231.605
Dec 1, 2012,114.111
Jan 1, 2013,42.088
Feb 1, 2013,149.142
Mar 1, 2013,166.336
Apr 1, 2013,207.599
May 1, 2013,335.506
Jun 1, 2013,158.326
Jul 1, 2013,70.993
Aug 1, 2013,212.93
Sep 1, 2013,204.182
Oct 1, 2013,285.193
Nov 1, 2013,274.791
Dec 1, 2013,166.055
Jan 1, 2014,85.568
Feb 1, 2014,120.606
Mar 1, 2014,128.663
Apr 1, 2014,195.268
May 1, 2014,234.979
Jun 1, 2014,126.465
Jul 1, 2014,49.474
Aug 1, 2014,169.392
Sep 1, 2014,167.129
Oct 1, 2014,290.287
Nov 1, 2014,213.58
Dec 1, 2014,140.966
Jan 1, 2015,51.189
Feb 1, 2015,77.347
Mar 1, 2015,117.291
Apr 1, 2015,191.386
May 1, 2015,181.724
Jun 1, 2015,57.705
Jul 1, 2015,127.624
